id,code_prefix_start,name,name@ca
account_group_600,600,Compres de mercaderies,Compres de mercaderies
account_group_601,601,Compres de matèries primeres,Compres de matèries primeres
account_group_602,602,Compres d'altres aprovisionaments,Compres d'altres aprovisionaments
account_group_606,606,Descomptes sobre compres per pagament immediat,Descomptes sobre compres per pagament immediat
account_group_607,607,Traballs realitzats per altres empreses,Traballs realitzats per altres empreses
account_group_608,608,Devolucions de compres y operacions similars,Devolucions de compres y operacions similars
account_group_609,609,Ràpels per compres,Ràpels per compres
account_group_61,61,Variació d'existencies,Variació d'existencies
account_group_610,610,Variació d'existencies de mercaderies,Variació d'existencies de mercaderies
account_group_611,611,Variació d'existencies de matèries primeres,Variació d'existencies de matèries primeres
account_group_612,612,Variació d'existencies d'altres aprovisionaments,Variació d'existencies d'altres aprovisionaments
account_group_62,62,Serveis externs,Serveis externs
account_group_620,620,Despeses en investigació i desenvolupament del exercici,Despeses en investigació i desenvolupament del exercici
account_group_621,621,Arrendaments i cànons,Arrendaments i cànons
account_group_622,622,Reparacions i conservació,Reparacions i conservació
account_group_623,623,Serveis de professionals independents,Serveis de professionals independents
account_group_624,624,Transports,Transports
account_group_625,625,Primes d'assegurances,Primes d'assegurances
account_group_626,626,Serveis bancaris i similars,Serveis bancaris i similars
account_group_627,627,"Publicitat, propaganda i relacions públiques","Publicitat, propaganda i relacions públiques"
account_group_628,628,Subministraments,Subministraments
account_group_629,629,Altres serveis,Altres serveis
account_group_63,63,Tributs,Tributs
account_group_631,631,Altres tributos,Altres tributos
account_group_64,64,Despeses de personal,Despeses de personal
account_group_640,640,Sous i salaris,Sous i salaris
account_group_641,641,Indemnitzacions,Indemnitzacions
account_group_642,642,Caixa Andorrana de Seguretat Social a càrrec de l’empresari,Caixa Andorrana de Seguretat Social a càrrec de l’empresari
account_group_643,643,Retribucions a llarg termini mitjançant sistemes d’aportació definida,Retribucions a llarg termini mitjançant sistemes d’aportació definida
account_group_649,649,Altres despeses socials,Altres despeses socials
account_group_65,65,Altres despeses de gestió,Altres despeses de gestió
account_group_650,650,Pèrdues de crèdits comerciales incobrables,Pèrdues de crèdits comerciales incobrables
account_group_659,659,Altres pèrdues en gestió corrent,Altres pèrdues en gestió corrent
account_group_66,66,Despeses financeres,Despeses financeres
account_group_660,660,Despeses financeres per actualizació de provisions,Despeses financeres per actualizació de provisions
account_group_661,661,Interessos d'obligacions i bons,Interessos d'obligacions i bons
account_group_662,662,Interessos de deutes,Interessos de deutes
account_group_663,663,Pèrdues per valoració d'instruments financers pel seu valor raonable,Pèrdues per valoració d'instruments financers pel seu valor raonable
account_group_664,664,Despeses por dividends d'accions o participacions considerades com passius financers,Despeses por dividends d'accions o participacions considerades com passius financers
account_group_665,665,Interessos per descompte d'efectes i operacions de «factoring»,Interessos per descompte d'efectes i operacions de «factoring»
account_group_666,666,Pèrdues en participacions i valors representatius de deute,Pèrdues en participacions i valors representatius de deute
account_group_667,667,Pèrdues de crèdits no comercials,Pèrdues de crèdits no comercials
account_group_668,668,Diferencies negatives de canvi,Diferencies negatives de canvi
account_group_669,669,Altres despeses financeres,Altres despeses financeres
account_group_67,67,Pèrdues procedents d'actius no corrents i despeses excepcionals,Pèrdues procedents d'actius no corrents i despeses excepcionals
account_group_670,670,Pèrdues procedents del immobilitzat intangible,Pèrdues procedents del immobilitzat intangible
account_group_671,671,Pèrdues procedents del immobilitzat tangible,Pèrdues procedents del immobilitzat tangible
account_group_672,672,Pèrdues procedents de les inversions immobiliaries,Pèrdues procedents de les inversions immobiliaries
account_group_673,673,Pèrdues procedents de participacions a llarg termini en parts vinculades,Pèrdues procedents de participacions a llarg termini en parts vinculades
account_group_675,675,Pèrdues per operacions amb obligacions pròpies,Pèrdues per operacions amb obligacions pròpies
account_group_678,678,Despeses excepcionals,Despeses excepcionals
account_group_68,68,Dotacions per amortitzacions,Dotacions per amortitzacions
account_group_680,680,Amortització del immobilitzat intangible,Amortització del immobilitzat intangible
account_group_681,681,Amortització del immobilitzat tangible,Amortització del immobilitzat tangible
account_group_682,682,Amortizació de las inversions immobiliaries,Amortizació de las inversions immobiliaries
account_group_69,69,Pèrdues per deteriorament i altres dotacions,Pèrdues per deteriorament i altres dotacions
account_group_690,690,Pèrdues per deteriorament del immobilitzat intangible,Pèrdues per deteriorament del immobilitzat intangible
account_group_691,691,Pèrdues per deteriorament del immobilitzat tangible,Pèrdues per deteriorament del immobilitzat tangible
account_group_692,692,Pèrdues per deteriorament de les inversions immobiliaries,Pèrdues per deteriorament de les inversions immobiliaries
account_group_693,693,Pèrdues per deteriorament d'existències,Pèrdues per deteriorament d'existències
account_group_694,694,Pèrdues per deteriorament de crèdits per operacions comercials,Pèrdues per deteriorament de crèdits per operacions comercials
account_group_695,695,Dotación a la provisió per operacions comerciales,Dotación a la provisió per operacions comerciales
account_group_696,696,Pèrdues per deteriorament de participacions i valors representatius de deute a llarg termini,Pèrdues per deteriorament de participacions i valors representatius de deute a llarg termini
account_group_697,697,Pèrdues per deteriorament de crèdits a llarg termini,Pèrdues per deteriorament de crèdits a llarg termini
account_group_698,698,Pèrdues per deteriorament de participacions i valors representatius de deute a curt termini,Pèrdues per deteriorament de participacions i valors representatius de deute a curt termini
account_group_699,699,Pèrdues por deteriorament de crèdits a curt termini,Pèrdues por deteriorament de crèdits a curt termini
account_group_7,7,Vendes i ingressos,Vendes i ingressos
account_group_70,70,"Vendes de mercaderies, de producció pròpia, de serveis, etc","Vendes de mercaderies, de producció pròpia, de serveis, etc"
account_group_700,700,Vendes de mercaderies,Vendes de mercaderies
account_group_701,701,Vendes de productes acabats,Vendes de productes acabats
account_group_702,702,Vendes de productes semiacabats,Vendes de productes semiacabats
account_group_703,703,Vendes de subproductes i residus,Vendes de subproductes i residus
account_group_704,704,Vendes d'envasos i embalatges,Vendes d'envasos i embalatges
account_group_705,705,Prestacions de serveis,Prestacions de serveis
account_group_706,706,Descomptes sobre vendes per pagament immediat,Descomptes sobre vendes per pagament immediat
account_group_708,708,Devolucions de vendes i operacions similars,Devolucions de vendes i operacions similars
account_group_709,709,Ràpels sobre vendes,Ràpels sobre vendes
account_group_71,71,Variació d'existències,Variació d'existències
account_group_710,710,Variació d'existències de productes en curs,Variació d'existències de productes en curs
account_group_711,711,Variació d'existències de productes semiacabats,Variació d'existències de productes semiacabats
account_group_712,712,Variació d'existències de productes acabats,Variació d'existències de productes acabats
account_group_713,713,"Variació d'existencies de subproductes, residus i materials recuperats","Variació d'existencies de subproductes, residus i materials recuperats"
account_group_73,73,Treballs realitzats per l'empresari,Treballs realitzats per l'empresari
